Locali,Prezzi,Media prezzo:
"Bilocale via delle Albizzie 21, Centocelle, Roma",€ 229.000,0
"Trilocale via Tor de' Schiavi 151, Centocelle, Roma",€ 239.000,0
"Trilocale via delle Betulle, Centocelle, Roma",€ 244.000,0
"Bilocale via Tor De' Schiavi 148, Centocelle, Roma",€ 225.000,0
"Trilocale via Ernesto Mauri, Centocelle, Roma",€ 189.000,0
"Monolocale piazza delle Iris 32, Centocelle, Roma",€ 101.000,0
"Trilocale via Tor de' Schiavi 219, Centocelle, Roma",€ 250.000,0
"Trilocale largo Santi Romano 21, Cinecittà, Roma",€ 148.000,0
"Trilocale via dei Noci, Centocelle, Roma",€ 269.000,0
"Bilocale via delle Giunchiglie, Centocelle, Roma",€ 199.000,0
"Trilocale via dei Castani, Centocelle, Roma",€ 215.000,0
"Trilocale via Pietro Romualdo Pirotta 10, Centocelle, Roma",€ 210.000,0
"Trilocale via delle Palme, Centocelle, Roma",€ 235.000,0
"Trilocale largo Giacomo Bresadola 12, Centocelle, Roma",€ 265.000,0
"Trilocale viale marco fulvio nobiliore 151, Cinecittà, Quadraro, Roma",€ 245.000,0
"Bilocale viale Palmiro Togliatti 753, Centocelle, Roma",€ 95.000,0
"Bilocale via delle Ortensie 4, Centocelle, Roma",€ 150.000,0
"Trilocale via Delle Robinie, Centocelle, Roma",€ 140.000,0
"Trilocale via Federico Delpino 139, Centocelle, Roma",€ 219.000,0
"Monolocale via delle Campanule, Centocelle, Roma",€ 79.000,0
"Trilocale viale della Primavera, Centocelle, Roma",€ 279.000,0
"Trilocale via Dei Ginepri 66, Centocelle, Roma",€ 279.000,0
"Trilocale via delle Rose 106, Centocelle, Roma",€ 265.000,0
"Bilocale via delle Palme, Centocelle, Roma",€ 195.000,0
"Trilocale via delle Palme, Centocelle, Roma",€ 169.000,0
"Bilocale via delle Fresie, Centocelle, Roma",€ 159.000,0
"Trilocale via delle Giunchiglie 35, Centocelle, Roma",€ 175.000,0
"Trilocale via delle Mimose, Centocelle, Roma",€ 190.000,0
"Bilocale via delle Albizzie 40, Centocelle, Roma",€ 105.000,0
"Trilocale via Tor de' Schiavi 168, Centocelle, Roma",€ 210.000,0
"Bilocale via dei Virgulti, Centocelle, Roma",€ 170.000,0
"Bilocale via Tor de' Schiavi 166, Centocelle, Roma",€ 140.000,0
"Trilocale via Giacomo Bresadola 27, Centocelle, Roma",€ 280.000,0
"Bilocale via Filippo Arena 24, Centocelle, Roma",€ 180.000,0
"Bilocale via dei Gelsi, Centocelle, Roma",€ 129.000,0
"Bilocale via dei Platani, Centocelle, Roma",€ 149.000,0
"Bilocale via delle Palme, Centocelle, Roma",€ 145.000,0
"Trilocale via dei Gelsi 159, Centocelle, Roma",€ 165.000,0
"Trilocale via Emilio Chiovenda, Centocelle, Roma",€ 265.000,0
"Bilocale via dei Castani 260, Centocelle, Roma",€ 159.000,0
"Bilocale via Giacomo Bresadola 26, Centocelle, Roma","€ 165.000€ 180.000(-8,3%)",0
"Trilocale largo Santi Romano, Cinecittà, Roma",€ 229.000,0
"Trilocale via dei Frassini, Centocelle, Roma",€ 210.000,0
"Quadrilocale viale Marco Fulvio Nobiliore 151, Cinecittà, Roma",€ 310.000,0
"Monolocale via Dei Ciclamini , 4, Centocelle, Roma",€ 126.000,0
"Bilocale viale della Primavera, Tor de' Schiavi, Roma",€ 209.000,0
"Bilocale via dei Platani, Centocelle, Roma",€ 129.000,0
"Trilocale via Scribonio Curione 128, Quadraro, Roma",€ 245.000,0
"Trilocale via dei Pampini, Centocelle, Roma",€ 200.000,0
"Trilocale via dei Sesami, Centocelle, Roma",€ 175.000,0
"Trilocale via dei Frassini, Centocelle, Roma",€ 199.000,0
"Quadrilocale via Tor de' Schiavi 355, Tor de' Schiavi, Roma",€ 289.000,0
"Trilocale via Valmontone, Centocelle, Roma",€ 289.000,0
"Monolocale viale delle Orchidee 38, Centocelle, Roma",€ 119.000,0
"Monolocale via delle Palme, Centocelle, Roma",€ 155.000,0
"Trilocale viale della Primavera, Tor de' Schiavi, Roma",€ 239.000,0
"Trilocale viale della Primavera, Centocelle, Roma",€ 239.000,0
"Monolocale via dei gelsi 72, Centocelle, Roma",€ 119.000,0
"Trilocale via Tor de' Schiavi, Tor de' Schiavi, Roma",€ 195.000,0
"Trilocale via delle Robinie, Centocelle, Roma",€ 340.000,0
"Bilocale via dei Virgulti, Centocelle, Roma",€ 165.000,0
"Appartamento via dei Gerani 15, Centocelle, Roma",€ 445.000,0
"Bilocale via Tor de' Schiavi 149, Centocelle, Roma",€ 225.000,0
"Bilocale via dei pini 38, Centocelle, Roma",€ 189.000,0
"Bilocale via dei Gelsi, Centocelle, Roma",€ 130.000,0
"Quadrilocale via Prenestina 414, Centocelle, Roma",€ 329.000,0
"Quadrilocale via Prenestina 414, Centocelle, Roma",€ 329.000,0
"Bilocale via Calpurnio Fiamma 165, Cinecittà, Roma",€ 189.000,0
"Monolocale via delle Palme, Centocelle, Roma",€ 155.000,0
"Trilocale via Livia Drusilla 13, Cinecittà, Roma",€ 249.000,0
"Trilocale via delle Azalee, Centocelle, Roma",€ 190.000,0
"Trilocale via delle Acacie 98, Centocelle, Roma",€ 189.000,0
"Trilocale via degli Elci 28, Centocelle, Roma",€ 190.000,0
"Trilocale buono stato, secondo piano, Centocelle, Roma",€ 280.000,0
"Trilocale via delle Chenzie, Centocelle, Roma",€ 165.000,0
"Bilocale via Dei Gelsi, Centocelle, Roma",€ 129.000,0
"Bilocale via dei Castani, Centocelle, Roma",€ 135.000,0
"Bilocale via delle Azalee 136, Centocelle, Roma",€ 169.000,0
"Bilocale viale delle Gardenie 127, Centocelle, Roma",€ 155.000,0
"Bilocale via delle Albizzie, Centocelle, Roma",€ 195.000,0
"Trilocale via dei Frassini, Centocelle, Roma",€ 210.000,0
"Trilocale buono stato, quarto piano, Centocelle, Roma",€ 235.000,0
"Bilocale via degli Aceri 136, Centocelle, Roma",€ 80.000,0
"Monolocale via delle Palme, 91, Centocelle, Roma",€ 100.000,0
"Bilocale ottimo stato, terzo piano, Centocelle, Roma",€ 195.000,0
"Bilocale via delle Palme, Centocelle, Roma",€ 145.000,0
"Bilocale via dei Castani 144, Centocelle, Roma",€ 195.000,0
"Bilocale via delle Mimose, Centocelle, Roma",€ 125.000,0
"Trilocale via delle Palme, Centocelle, Roma",€ 145.000,0
"Bilocale via Valmontone, Centocelle, Roma",€ 44.000,0
"Bilocale via dei Lecci, Centocelle, Roma",€ 135.000,0
"Bilocale via delle Palme 200, Centocelle, Roma",€ 159.000,0
"Bilocale via dei Noci, Centocelle, Roma",€ 163.000,0
"Monolocale via delle Giunchiglie, Centocelle, Roma",€ 60.000,0
"Monolocale via delle Acacie 146, Centocelle, Roma",€ 115.000,0
"Quadrilocale via dei Castani 136, Centocelle, Roma",€ 260.000,0
"Monolocale via Tor de' Schiavi, Centocelle, Roma",€ 69.000,0
"Bilocale via dei Glicini, Centocelle, Roma",€ 249.000,0
"Quadrilocale ottimo stato, primo piano, Centocelle, Roma",€ 349.000,0
"Bilocale via dei Platani, Centocelle, Roma",€ 199.000,0
"Bilocale via delle Betulle, Centocelle, Roma",€ 169.000,0
"Trilocale via Tor De Schiavi, 0, Centocelle, Roma",€ 295.000,0
"Bilocale buono stato, secondo piano, Centocelle, Roma",€ 173.000,0
"Bilocale via delle Ortensie 4, Centocelle, Roma",€ 149.000,0
"Bilocale via Antonino Borzi' 19, Centocelle, Roma",€ 199.000,0
"Bilocale via Delle Robinie 71, Centocelle, Roma",€ 129.000,0
"Trilocale buono stato, primo piano, Centocelle, Roma",€ 247.000,0
"Bilocale via dei Gerani, Centocelle, Roma",€ 172.000,0
"Bilocale via dei Gelsi, Centocelle, Roma",€ 142.000,0
"Bilocale via dei Gelsi, Centocelle, Roma",€ 129.000,0
"Bilocale via delle Palme, Centocelle, Roma",€ 145.000,0
"Bilocale via delle Palme, Centocelle, Roma",€ 145.000,0
"Trilocale via Fridiano Cavara 19, Centocelle, Roma",€ 235.000,0
"Quadrilocale terzo piano, Centocelle, Roma",€ 365.000,0
"Bilocale via delle Petunie 55, Centocelle, Roma",€ 175.000,0
"Monolocale via delle ginestre 6, Centocelle, Roma","€ 109.000€ 119.000(-8,4%)",0
"Bilocale via Tor de' Schiavi 219, Centocelle, Roma",€ 150.000,0
"Trilocale via degli Aceri 136, Centocelle, Roma",€ 179.900,0
"Bilocale via delle Palme, Centocelle, Roma",€ 159.000,0
"Bilocale via dei Ciclamini, Centocelle, Roma",€ 169.000,0
"Quadrilocale via Valmontone, Centocelle, Roma",€ 339.000,0
"Bilocale via dei Platani 52, Centocelle, Roma",€ 199.000,0
"Trilocale largo Girolamo Cocconi, Centocelle, Roma",€ 245.000,0
"Bilocale via Antonino Borzì, Centocelle, Roma",€ 165.000,0
"Monolocale via delle Palme, Centocelle, Roma",€ 159.000,0
"Bilocale secondo piano, Centocelle, Roma",€ 219.000,0
"Quadrilocale buono stato, Centocelle, Roma",€ 315.000,0
"Trilocale via Federico Delpino, Centocelle, Roma",€ 269.000,0
"Bilocale via delle Rose 138, Centocelle, Roma",€ 115.000,0
"Trilocale via dei Platani 189, Centocelle, Roma",€ 159.000,0
"Bilocale via dei Platani 52, Centocelle, Roma",€ 199.000,0
"Bilocale via dei Gelsi, Centocelle, Roma",€ 129.000,0
"Trilocale via dei Gelsi, Centocelle, Roma",€ 268.000,0
"Trilocale via Ernesto Mauri, Centocelle, Roma",€ 175.000,0
"Trilocale via dei Castani, Centocelle, Roma",€ 185.000,0
"Trilocale via delle Liane, Centocelle, Roma",€ 169.000,0
"Bilocale via delle Giunchiglie 51, Centocelle, Roma",€ 158.000,0
"Bilocale via delle Betulle, Centocelle, Roma",€ 169.000,0
"Bilocale buono stato, quarto piano, Centocelle, Roma",€ 175.000,0
"Quadrilocale largo Francesco Ardissone 33, Centocelle, Roma",€ 75.000,0
"Trilocale via dei Castani, Centocelle, Roma",€ 185.000,0
"Bilocale via delle Palme, Centocelle, Roma",€ 145.000,0
